Song;Tempo;Articulation;Mode;Intensity;Tonalness;Pitch;Melody;Rhytmic Clarity;Rhythmic Complexity
Anthropology Anthology;8,00;4,33;8,33;8,33;8,67;6,00;6,67;4,67;8,67
Blueming;5,67;4,00;7,00;4,67;8,67;6,00;8,00;8,67;4,00
Bourée;4,67;6,00;5,33;3,67;9,33;8,33;7,67;5,67;3,33
Bygone Bumps;5,00;7,00;3,00;3,67;7,67;5,67;8,67;7,67;4,00
Calon Lan;4,33;5,67;4,00;5,00;7,67;8,33;9,00;5,67;5,67
Cia Pat;4,67;6,33;3,00;6,33;7,33;2,67;5,33;8,33;3,00
Decision (Price of Love);6,67;5,00;2,67;6,00;7,67;5,33;8,67;7,33;5,67
Elysium;2,00;9,67;6,67;6,00;9,00;6,33;7,67;1,67;1,67
Exposition;5,00;5,67;4,33;5,33;8,00;6,00;8,33;6,00;4,67
Firth Of Fifth;7,00;6,67;4,67;5,67;6,00;7,33;7,67;4,67;7,00
Hello;6,00;3,00;6,67;7,67;6,67;6,00;6,67;9,67;4,67
John Ryan's Polka;7,33;5,00;6,67;6,00;8,67;6,67;8,67;8,33;5,33
La Fedele Creatura di Orione;6,00;4,33;7,33;6,67;8,67;4,33;5,00;8,33;3,33
Less Is Moi;5,00;7,33;4,67;4,33;6,00;5,67;8,00;8,00;6,00
Married Life;4,33;7,67;5,67;6,00;6,00;7,33;8,67;7,33;5,33
Moon People;7,00;3,67;4,33;6,33;2,33;4,33;3,67;1,67;9,00
Resolver;6,33;5,33;3,67;7,00;7,33;7,00;9,00;7,67;3,67
ScarFace 'Tony Theme' Giorgio Moroder;4,33;6,67;1,67;7,33;7,00;6,33;8,00;8,00;2,00
Sea Change;5,00;3,67;3,00;5,67;3,00;4,00;2,00;5,67;7,00
Single Petal Of A Rose;3,00;8,33;4,67;2,67;7,33;7,00;7,67;2,00;6,00
syro u473t8+e [141.98] (piezoluminescence mix);6,33;4,00;5,00;8,33;6,67;5,00;6,67;7,67;8,67
Small Talk;6,67;4,33;5,33;5,67;5,33;5,33;7,67;5,33;9,00
Song For A New Beginning;2,67;9,33;4,67;6,00;9,00;7,00;9,00;4,67;4,67
Drama In Six Notes;7,33;6,33;5,33;8,00;2,33;6,67;3,00;3,67;8,67
The Enchanted Garden;3,00;9,67;7,67;5,33;9,67;7,00;9,00;4,33;4,67
The Kiss - The Last Of The Mohicans;4,33;7,33;4,33;5,33;7,67;6,00;8,33;5,67;4,00
The Promise;2,67;8,33;2,67;3,67;8,67;7,00;9,00;4,33;2,33
The Weeping Meadow;2,67;8,67;2,67;5,00;8,00;6,67;8,33;4,33;4,67
USA III Rail;6,33;5,33;7,67;7,33;8,33;6,00;7,67;8,33;5,00
Wings;4,33;8,67;6,00;7,00;7,33;5,67;8,33;7,33;4,00
