Song;Tempo;Articulation;Mode;Intensity;Tonalness;Pitch;Melody;Rhytmic Clarity;Rhythmic Complexity
Blueming;5.67;4.00;7.00;4.67;8.67;6.00;8.00;8.67;4.00
Bygone Bumps;5.00;7.00;3.00;3.67;7.67;5.67;8.67;7.67;4.00
Cia Pat;4.67;6.33;3.00;6.33;7.33;2.67;5.33;8.33;3.00
Decision (Price of Love);6.67;5.00;2.67;6.00;7.67;5.33;8.67;7.33;5.67
Elysium;2.00;9.67;6.67;6.00;9.00;6.33;7.67;1.67;1.67
Firth Of Fifth;7.00;6.67;4.67;5.67;6.00;7.33;7.67;4.67;7.00
Less Is Moi;5.00;7.33;4.67;4.33;6.00;5.67;8.00;8.00;6.00
Married Life;4.33;7.67;5.67;6.00;6.00;7.33;8.67;7.33;5.33
Resolver;6.33;5.33;3.67;7.00;7.33;7.00;9.00;7.67;3.67
ScarFace 'Tony Theme' Giorgio Moroder;4.33;6.67;1.67;7.33;7.00;6.33;8.00;8.00;2.00
Single Petal Of A Rose;3.00;8.33;4.67;2.67;7.33;7.00;7.67;2.00;6.00
syro u473t8+e [141.98] (piezoluminescence mix);6.33;4.00;5.00;8.33;6.67;5.00;6.67;7.67;8.67
Song For A New Beginning;2.67;9.33;4.67;6.00;9.00;7.00;9.00;4.67;4.67
Šeši? Nat? Drama _ Drama In Six Notes;7.33;6.33;5.33;8.00;2.33;6.67;3.00;3.67;8.67
USA III Rail;6.33;5.33;7.67;7.33;8.33;6.00;7.67;8.33;5.00
